,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,VOM,c_b,c_v,capacity,capture rate,capture_rate,compression-electricity-input,compression-heat-output,discount rate,efficiency,efficiency-heat,electricity-input,fuel,heat-input,heat-output,investment,lifetime,min_fill_level,p_nom_ratio,fixed,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
hydrogen storage underground,,,0,,0,0,,,,,,,,0.07,1,,,0,,,2000,100,,,140.1615292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
industrial heat pump high temperature,,,0,,0.09,3.2,,,,,,,,0.07,3.05,,,0,,,934560,20,,,89056.95668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
industrial heat pump medium temperature,,,0,,0.11,3.2,,,,,,,,0.07,2.7,,,0,,,778800,20,,,74369.89057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lignite,,,0.41,,1.6,3.5,,,,,,,,0.07,0.33,,,2.9,,,3845510,40,,,349976.5536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methanation,,,0,,3,0,,,,0.98,,,,0.07,0.8,,,0,,,628600,20,,,78193.39312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methane storage tank incl. compressor,,,0,,1.9,0,,,,,,,,0.07,1,,,0,,,8629.2,30,,,859.3509932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methanolisation,,,0,,3,0,,,,,,,,0.07,1,,,0,,,650711.26,20,,,80943.87745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micro CHP,,,0,,6.11,0,,,,,,,,0.07,0.35,0.61,,0,,,7410270,20,,,1152244.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuclear,,,0,,1.4,3.5,,,,,,,,0.07,0.33,,,2.6,,,7940450,40,,,706772.6168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offwind,,,0,,2.32,0.02,,,,,,,,0.07,1,,,0,,,1523550,30,,,158123.7751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offwind-ac-connection-submarine,,,0,,0,0,,,,,,,,0.07,1,,,0,,,2685,25,,,230.4012387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offwind-ac-connection-underground,,,0,,0,0,,,,,,,,0.07,1,,,0,,,1342,25,,,115.1577141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offwind-ac-station,,,0,,0,0,,,,,,,,0.07,1,,,0,,,250000,25,,,21452.62931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offwind-dc-connection-submarine,,,0,,0,0,,,,,,,,0.07,1,,,0,,,2000,25,,,171.6210344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offwind-dc-connection-underground,,,0,,0,0,,,,,,,,0.07,1,,,0,,,1000,25,,,85.81051722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offwind-dc-station,,,0,,0,0,,,,,,,,0.07,1,,,0,,,400000,25,,,34324.20689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oil,,,0.26,,2.46,6,,,,,,,,0.07,0.35,,,50,,,343000,25,,,37870.80741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onwind,,,0,,1.22,1.35,,,,,,,,0.07,1,,,0,,,1035560,30,,,96085.88802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ror,,,0,,2,0,,,,,,,,0.07,0.9,,,0,,,3312240,80,,,299140.2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seawater desalination,,,0,,4,0,,,,,,,,0.07,1,,3.03,0,,,32882.05,30,,,3965.12815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar,,,0,,1.95,0.01,,,,,,,,0.07,1,,,0,,,492110,40,,,46508.89233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar-rooftop,,,0,,1.42,0,,,,,,,,0.04,1,,,0,,,636660,40,,,41206.85671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar-rooftop commercial,,,0,,1.57,0,,,,,,,,0.07,1,,,0,,,512470,40,,,46485.7124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar-rooftop residential,,,0,,1.27,0,,,,,,,,0.07,1,,,0,,,760860,40,,,66734.3754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar-utility,,,0,,2.48,0,,,,,,,,0.07,1,,,0,,,347560,40,,,34689.66431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid biomass,,,0.37,,0,0,,,,,,,,0.07,1,,,12,,,0,25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid biomass boiler steam,,,0,,6.08,2.82,,,,,,,,0.07,0.89,,,0,,,590910,25,,,86633.62073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid biomass to hydrogen,,,0,,4.25,0,,,,0.98,,,,0.07,0.56,,,0,,,2500000,25,,,320776.2931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uranium,,,0,,0,0,,,,,,,,0.07,1,,,2.6,,,0,25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water tank charger,,,0,,0,0,,,,,,,,0.07,0.84,,,0,,,0,25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water tank discharger,,,0,,0,0,,,,,,,,0.07,0.84,,,0,,,0,25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co2 atmosphere,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
