,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,VOM,c_b,c_v,capacity,capture rate,capture_rate,compression-electricity-input,compression-heat-output,discount rate,efficiency,efficiency-heat,electricity-input,fuel,heat-input,heat-output,investment,lifetime,min_fill_level,p_nom_ratio,fixed,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
biogas,,,0,0.09,12.84,0,,,,0.98,,,,0.07,1,,,59,,,1539620,20,,,343016.4443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biogas plus hydrogen,,,0,,4,0,,,,,,,,0.07,1,,,0,,,756000,25,,,95112.75102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biogas upgrading,,,0,,2.49,3.18,,,,,,,,0.07,1,,,0,,,381000,15,,,51318.65201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass,,,0,,4.53,0,,,,,,,,0.07,0.47,,,7,,,2209000,30,,,278083.0654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass CHP,,,0,,3.58,2.1,0.46,1,,,,,,0.07,0.3,0.71,,0,,,3210280,25,,,390403.8112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass CHP capture,,,0,,3,0,,,,,0.9,0.08,0.14,0.07,1,,0.02,0,0.72,0.72,2700000,25,,,312688.3965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass EOP,,,0,,3.58,2.1,0.46,1,,,,,,0.07,0.3,0.71,,0,,,3210280,25,,,390403.8112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass HOP,,,0,,5.75,2.78,,,,,,,,0.07,1.03,,,0,,,832630,25,,,119324.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass boiler,,,0,,7.49,0,,,,,,,,0.07,0.86,,,0,,,649300,20,,,109921.8967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cement capture,,,0,,3,0,,,,,0.9,0.08,0.14,0.07,1,,0.02,0,0.72,1.54,2600000,25,,,301107.3448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central air-sourced heat pump,,,0,,0.23,2.51,,,,,,,,0.07,3.6,,,0,,,856250,25,,,75444.63037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central coal CHP,,,0,,1.63,2.84,1.01,0.15,,,,,,0.07,0.52,,,0,,,1860470,25,,,189973.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central gas CHP,,,0,,3.32,4.2,1,0.17,,,,,,0.07,0.41,,,0,,,560000,25,,1,66645.88964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central gas boiler,,,0,,3.8,1,,,,,,,,0.07,1.04,,,0,,,50000,25,,,6190.525861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central ground-sourced heat pump,,,0,,0.39,1.25,,,,,,,,0.07,1.73,,,0,,,507600,25,,,45537.05854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central resistive heater,,,0,,1.7,1,,,,,,,,0.07,0.99,,,0,,,60000,20,,,6683.575545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central solar thermal,,,0,,1.4,0,,,,,,,,0.07,1,,,0,,,140000,20,,,15175.0096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central solid biomass CHP,,,0,,2.87,4.58,0.35,1,,,,,,0.07,0.27,0.82,,0,,,3349490,25,,1,383551.8323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central water tank storage,,,0,,0.55,0,,,,,,,,0.07,1,,,0,,,540,25,,,49.3076793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean water tank storage,,,0,,2,0,,,,,,,,0.07,1,,,0,,,67.63,30,,,6.802658469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co2 emissions,,,0,,0,0,,,,,,,,0.07,1,,,0,,,110,25,,,9.439156894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,,,0.34,,1.6,3.5,,,,,,,,0.07,0.33,,,8.15,,,3845510,40,,,349976.5536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csp-tower,,,0,,1.1,0,,,,,,,,0.07,1,,,0,,,98150,30,,,8989.205505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csp-tower TES,,,0,,1.1,0,,,,,,,,0.07,1,,,0,,,13150,30,,,1204.361206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csp-tower power block,,,0,,1.1,0,,,,,,,,0.07,1,,,0,,,687600,30,,,62974.81105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decentral CHP,,,0,,3,0,,,,,,,,0.04,1,,,0,,,1400000,25,,,131616.7479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
